TLC2 Version 2.19 of 08 August 2024 (rev: 5a47802)
Running breadth-first search Model-Checking with fp 41 and seed -598648575451411514 with 128 workers on 128 cores with 406240MB heap and 64MB offheap memory [pid: 100234] (Linux 7.0.0-1004-aws amd64, Ubuntu 25.0.3-ea x86_64, MSBDiskFPSet, DiskStateQueue).
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega_MC.tla
Parsing file /home/ubuntu/summerset/tla+/bodega_roster_lease/Bodega.tla
Parsing file /tmp/FiniteSets.tla
Parsing file /tmp/Sequences.tla
Parsing file /tmp/Integers.tla
Parsing file /tmp/TLC.tla
Parsing file /tmp/Naturals.tla
Semantic processing of module Naturals
Semantic processing of module Sequences
Semantic processing of module FiniteSets
Semantic processing of module Integers
Semantic processing of module TLC
Semantic processing of module Bodega
Semantic processing of module Bodega_MC
Starting... (2026-05-12 06:17:01)
Computing initial states...
Finished computing initial states: 1 distinct state generated at 2026-05-12 06:17:06.
Progress(12) at 2026-05-12 06:17:09: 81,623 states generated (81,623 s/min), 35,648 distinct states found (35,648 ds/min), 23,808 states left on queue.
Progress(26) at 2026-05-12 08:23:26: 1,033,478,463 states generated (8,149,329 s/min), 354,147,379 distinct states found (2,818,941 ds/min), 96,396,273 states left on queue.
Progress(26) at 2026-05-12 08:24:26: 1,041,544,437 states generated (8,065,974 s/min), 356,962,428 distinct states found (2,815,049 ds/min), 97,021,339 states left on queue.
Progress(26) at 2026-05-12 08:25:26: 1,049,391,730 states generated (7,847,293 s/min), 359,791,044 distinct states found (2,828,616 ds/min), 97,602,775 states left on queue.
Progress(26) at 2026-05-12 08:26:26: 1,057,574,334 states generated (8,182,604 s/min), 362,605,025 distinct states found (2,813,981 ds/min), 98,220,793 states left on queue.
Progress(26) at 2026-05-12 08:27:26: 1,065,732,316 states generated (8,157,982 s/min), 365,424,590 distinct states found (2,819,565 ds/min), 98,780,264 states left on queue.
Progress(26) at 2026-05-12 08:28:26: 1,073,865,089 states generated (8,132,773 s/min), 368,241,010 distinct states found (2,816,420 ds/min), 99,306,433 states left on queue.
Progress(26) at 2026-05-12 08:29:26: 1,081,972,397 states generated (8,107,308 s/min), 371,040,340 distinct states found (2,799,330 ds/min), 99,867,602 states left on queue.
Progress(26) at 2026-05-12 08:30:26: 1,089,834,954 states generated (7,862,557 s/min), 373,870,104 distinct states found (2,829,764 ds/min), 100,396,217 states left on queue.
Progress(26) at 2026-05-12 08:31:26: 1,097,814,949 states generated (7,979,995 s/min), 376,692,038 distinct states found (2,821,934 ds/min), 100,929,898 states left on queue.
Progress(26) at 2026-05-12 08:32:26: 1,105,624,609 states generated (7,809,660 s/min), 379,534,695 distinct states found (2,842,657 ds/min), 101,468,498 states left on queue.
Progress(26) at 2026-05-12 08:33:26: 1,113,336,772 states generated (7,712,163 s/min), 382,371,105 distinct states found (2,836,410 ds/min), 102,026,177 states left on queue.
